Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
de,oct,mag,8498.94,45476,0.83,300.76,5.60,1183.50,26.60,2412.99,59.30,3586.76,59.30,300.76
de,oct,montage,151.87,1900,21.60,0.00,36.17,0.00,52.17,0.00,55.07,0.00,55.07,0.00
de,oct,nanoseq,144.15,20032,0.00,0.00,0.00,0.00,18.40,0.00,55.53,973.06,55.53,0.00
de,oct,rangeland,4127.85,24799,0.00,0.00,0.00,0.00,17.50,0.00,56.10,220.81,56.10,0.00
de,oct,rnaseq,1885.99,11011,0.07,0.00,0.07,0.00,10.00,0.00,54.20,1624.34,55.67,0.00
de,oct,sarek,3554.50,18265,0.00,0.00,0.00,0.00,16.13,0.00,55.17,1277.41,55.17,0.00
de,nov,chipseq,2993.04,13324,0.57,0.00,0.57,0.00,0.57,0.00,0.57,0.00,4.23,0.00
de,nov,mag,8518.68,45476,0.00,0.00,0.10,583.50,0.77,300.76,0.77,300.76,5.43,0.00
de,nov,montage,193.00,1900,4.03,0.00,4.03,0.00,4.03,0.00,12.20,0.00,35.30,0.00
de,nov,nanoseq,158.69,20032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00
de,nov,rangeland,4481.94,24799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00
de,nov,rnaseq,2120.88,11011,1.47,0.00,1.47,0.00,1.47,0.00,1.47,0.00,4.90,0.00
de,nov,sarek,3941.33,18265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,0.00
de,dec,chipseq,2170.02,13324,1.27,0.00,1.27,0.00,1.27,0.00,1.27,0.00,1.27,0.00
de,dec,mag,6048.17,45476,0.20,583.50,0.20,583.50,0.20,583.50,0.20,583.50,0.20,583.50
de,dec,montage,160.43,1900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00
de,dec,nanoseq,114.29,20032,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00
de,dec,rangeland,3214.19,24799,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00
de,dec,rnaseq,1536.64,11011,2.10,0.00,2.10,0.00,2.10,0.00,2.10,0.00,2.10,0.00
de,dec,sarek,2848.14,18265,0.60,0.00,0.60,0.00,0.60,0.00,0.60,0.00,0.60,0.00
ca,jan,chipseq,2176.96,13324,31.57,0.00,52.30,0.00,52.30,0.00,55.00,0.00,59.30,0.00
ca,jan,mag,4631.56,45476,10.87,368.76,10.87,300.76,37.23,3586.76,41.43,2724.76,44.57,368.76
ca,jan,montage,125.17,1900,3.40,0.00,52.10,0.00,52.10,0.00,54.60,0.00,59.50,0.00
ca,jan,nanoseq,116.98,20032,43.90,0.00,52.50,0.00,52.50,0.00,55.13,0.00,59.50,0.00
ca,jan,rangeland,3245.74,24799,42.10,0.00,50.10,0.00,50.10,0.00,54.10,421.33,58.37,0.00
ca,jan,rnaseq,1529.92,11011,26.63,0.00,52.20,0.00,52.20,0.00,55.00,0.00,59.43,0.00
ca,jan,sarek,2888.59,18265,37.60,0.00,52.10,0.00,52.10,0.00,54.87,0.00,59.13,0.00
