task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
37	d5/39dee5	nf-d539dee5616cae260cae85880e4dffae-c3500	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R1)	COMPLETED	0	2026-01-07 13:03:18.216	42.8s	40s	96.1%	18.7 MB	220.9 MB	2.5 GB	2.2 MB
39	16/1135ad	nf-161135adde4b4beb95b7149426cf5105-24adb	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R2)	COMPLETED	0	2026-01-07 13:03:52.137	8.9s	8s	122.0%	13.7 MB	220.9 MB	646.2 MB	1.9 MB
42	d3/82e307	nf-d382e307e49fda44d3e0644e824cda08-61446	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R3)	COMPLETED	0	2026-01-07 13:04:02.174	826ms	0ms	29.8%	3.1 MB	5.4 MB	2.2 MB	5.4 KB
41	d8/7cb614	nf-d87cb6143b487ab78e63267e4c773288-310c1	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R3)	COMPLETED	0	2026-01-07 13:04:02.080	14.9s	14s	117.1%	7.1 MB	220.9 MB	1.2 GB	5.3 KB
43	08/f976db	nf-08f976db5e5d2d365c9dfd4fca3e506f-eda0f	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (1)	COMPLETED	0	2026-01-07 13:04:07.184	1m 1s	45s	133.2%	1.1 GB	1.2 GB	1.3 GB	323.1 MB
40	66/1e0120	nf-661e01208453bfc417a445c95e7e0284-7049e	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R3)	COMPLETED	0	2026-01-07 13:05:12.025	38s	35s	137.2%	109.9 MB	260.4 MB	1.2 GB	23.8 MB
44	17/6949d9	nf-176949d9c01778b409a77ceab53852a1-898d0	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R3)	COMPLETED	0	2026-01-07 13:04:22.133	3m 14s	2m 24s	123.8%	5.7 GB	6.9 GB	1.4 GB	532.6 MB
46	33/1e417a	nf-331e417a10ae5c9c19dc36ac53edb3b6-6585d	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R1)	COMPLETED	0	2026-01-07 13:07:42.124	24.9s	22s	104.5%	6.9 MB	220.9 MB	1.6 GB	5.3 KB
48	fd/f99000	nf-fdf9900067fae6d511c2847f909a502b-b48e6	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1)	COMPLETED	0	2026-01-07 13:05:52.193	5m 18s	3m 30s	124.6%	8.1 GB	10 GB	2 GB	850.7 MB
45	16/e9372c	nf-16e9372cd674a04f17b424669e2c7339-5194e	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R1)	COMPLETED	0	2026-01-07 13:11:12.048	2s	0ms	10.5%	3.1 MB	5.4 MB	2.3 MB	5.4 KB
